author,statement,source,date,target
Jeff Cercone,Notice from a New Jersey doctor’s office proves that COVID-19 vaccines are dangerous for athletes.,Facebook posts,"April 12, 2024",false
Madison Czopek,"An X post that said, “I did it” was “the last thing O.J. Simpson tweeted before he passed.”",X posts,"April 12, 2024",false
Sofia Ahmed,"Says 326,000 migrants were flown to Florida with taxpayer dollars under President Joe Biden’s secret migrant flight program.",Instagram posts,"April 12, 2024",false
Sara Swann,"“Nancy Pelosi busted, Speaker (Mike) Johnson just released it for everyone to see.”",Facebook posts,"April 12, 2024",false
Loreben Tuquero,Donald Trump “pays off mortgage of killed NYPD officer’s family.”,Facebook posts,"April 12, 2024",false
Jeff Cercone,"ProduceMaxx sprayed on organic produce at grocery stores contains pesticides, herbicides, fungicides, insecticides and antibiotics.",Instagram posts,"April 11, 2024",barely-true
Madison Czopek,Video shows Snoop Dogg recommending “gummies for quitting smoking.”,Facebook posts,"April 11, 2024",false
Kwasi Gyamfi,Photos of Pennsylvania vote tallies on CNN prove the 2020 election was stolen.,Facebook posts,"• April 11,",false
Madison Czopek,A Social Security Administration database shows “how many people each of the 43 states are registering to vote who DO NOT HAVE IDs.”,Facebook posts,"April 11, 2024",false
Sofia Ahmed,Tennessee has become the first state in the U.S. to ban Bill Gates’ mRNA from being pumped into the food supply.,Facebook posts,"April 11, 2024",false
Ciara O'Rourke,President Joe Biden’s “FCC pick just withdrew after being humiliated by Senator J.D. Vance” in April.,Viral image,"April 10, 2024",false
Jeff Cercone,The solar eclipse path was “full of chemtraiIs.”,Facebook posts,"April 10, 2024",pants-fire
Kwasi Gyamfi,"World Health Organization pandemic accord “would take away American sovereignty and give the WHO power to put in legally binding policies in America in the case of another pandemic.""",Facebook posts,"• April 10,",false
Louis Jacobson,"""All legal scholars, both sides, wanted, and in fact demanded” that Roe v. Wade be overturned.",Donald Trump,"April 10, 2024",false
Louis Jacobson,"“Support for Roe is higher today in America than it has ever been.""",Joe Biden,"April 10, 2024",mostly-true
Grace Abels,Video shows “child groomer” at city council meeting reacting to “getting exposed”,X posts,"April 10, 2024",false
Maria Ramirez,"""Crime is down in Venezuela by 67% because they're taking their gangs and their criminals and depositing them very nicely into the United States.”",Donald Trump,"• April 10,",false
Marta Campabadal,En las tiendas de Build-A-Bear puedes construir un oso diabólico.,Facebook posts,"• April 9,",false
Maria Briceño,"Una ley en Estados Unidos dice “si una casa no está habitada, podemos expropiarla”.",Instagram posts,"April 9, 2024",barely-true
Loreben Tuquero,"“UN Agenda 2030 Mission Goals” include “one world government,” “one world army,” microchipping, “AI courts and end of individual rights.”",Instagram posts,"April 9, 2024",false
Louis Jacobson,Democrats support abortion measures that result in the “execution” of babies “after birth.”,Donald Trump,"April 8, 2024",false
David Scibilia,"After a 2022 law, “the vast majority of colleges in New York State do not have on-campus poll sites.”",Jonathan Becker,"April 8, 2024",mostly-true
Sara Swann,Alina Habba said New York Supreme Court Justice Arthur Engoron took a “$10 million bribe from Joe Biden’s shell companies to convict Donald Trump.”,TikTok posts,"April 8, 2024",false
Madison Czopek,"“The National Guard in the HISTORY of its life, gets called in AFTER a disaster, not BEFORE something happens.”",Instagram posts,"April 8, 2024",false
Maria Briceño,"""Llamada de emergencia, situación del accidente del barco"" en el puente Francis Scott Key en Baltimore.",Facebook posts,"April 8, 2024",pants-fire
Kwasi Gyamfi,"""Trump takes out a loan and pays it back with interest, it is a crime.""",Facebook posts,"• April 5,",false
Loreben Tuquero,CERN’s activation of its Large Hadron Collider is connected to the April 8 eclipse.,Facebook posts,"April 5, 2024",false
Maria Briceño,“A todos los hispanoamericanos se les borraran sus deudas...porque quieren luchar contra la recesión que se avecina”.,Facebook posts,"April 5, 2024",false
Amy Sherman,"On Jan. 6, 2021, U.S. Capitol “protestors carried no weapons.”",Robert F. Kennedy Jr.,"April 5, 2024",pants-fire
Maria Briceño,"A U.S. law says that “if a house is not inhabited, we can expropriate it.”",Instagram posts,"April 5, 2024",barely-true
Madison Czopek,Video shows “New York Governor Kathy Hochul being denied entry into the wake for slain NYPD officer Jonathan Diller.”,Benny Johnson,"April 5, 2024",false
Sofia Ahmed,"More than 2 million people registered to vote so far this year without photo ID in Arizona, Pennsylvania and Texas.",Instagram posts,"April 5, 2024",false
Grace Abels,"Video shows Joe Rogan talking about “mythical sea beasts,” gold in the Grand Canyon, and aliens in the Bermuda triangle.",Facebook posts,"April 5, 2024",false
Jeff Cercone,It’s a sign of war that the U.S. Navy is assisting the U.S. Coast Guard in cleaning up Baltimore’s Francis Scott Key Bridge site.,Facebook posts,"April 5, 2024",false
Amy Sherman,"“President Biden is the first candidate in history, the first president in history, that has used the federal agencies to censor political speech ... to censor his opponent.""",Robert F. Kennedy Jr.,"April 5, 2024",false
Vanessa Swales,"“We’ve had 12 elections in 24 years in Wisconsin that have been decided by less than 30,000 votes.”",Brian Schimming,"April 5, 2024",true
Marta Campabadal,"Esta imagen muestra “los escombros en Taiwán, tras el terremoto de 7.4"".",Facebook posts,"• April 4,",false
Marta Campabadal,"""El reciente Programa de Alivio de Deudas 2024 está ayudando a miles de estadounidenses con deudas totales que superan los $13,000"".",Facebook posts,"• April 4,",false
Sara Swann,Baltimore’s Francis Scott Key Bridge was “targeted with energy weapons.”,Instagram posts,"April 4, 2024",pants-fire
Maria Briceño,“La NASA ha llamado viva la imagen de la Virgen de Guadalupe”.,Facebook posts,"April 4, 2024",false
Loreben Tuquero,NASA is “shooting three rockets at three moons” on the day of the solar eclipse.,Facebook posts,"April 4, 2024",false
Madison Czopek,Video shows “an entire block of unfinished houses collapsed as a result of an earthquake in Taiwan.”,X posts,"April 4, 2024",false
Sophia Voight,Says President Joe Biden purposely chose Easter Sunday to mark Transgender Day of Visibility.,Derrick Van Orden,"April 4, 2024",false
Sofia Ahmed,The FBI admitted that Venezuela emptied its prisons and sent the inmates to the U.S.,Instagram posts,"April 4, 2024",false
Sofia Ahmed,"Texas found that 95,000 noncitizens were registered to vote.",Instagram posts,"April 4, 2024",false
Louis Jacobson,"“Since Joe Biden took office, crime has skyrocketed across our country.”",Nancy Mace,"April 3, 2024",barely-true
Matthew Crowley,The current Congress is “the least productive in our lifetime.”,Donna Brazile,"April 3, 2024",mostly-true
Marta Campabadal,"""El presidente Biden acaba de anunciar el nuevo programa 'Latinos sin deudas 2024' que ayudará a toda la comunidad hispana con problemas de deudas"".",Facebook posts,"• April 3,",false
Marta Campabadal,"""Los Simpson predicen la caída del puente en Maryland"".",Facebook posts,"• April 3,",false
Kwasi Gyamfi,"""The Earth is warming because of the sun's changing distance from the Earth, not because of carbon emissions.""",Facebook posts,"• April 3,",false
Ciara O'Rourke,Ben Shapiro posted on X about his sister and Sydney Sweeney.,Instagram posts,"April 3, 2024",pants-fire
Samantha Putterman,"Insulin for Medicare beneficiaries ""was costing 400 bucks a month on average. It now costs $35 a month.""",Joe Biden,"April 2, 2024",half-true
Sara Swann,The Dali ship’s “black box” stopped recording “right before (the) crash” into the Baltimore bridge then started recording “right after.”,Instagram posts,"April 2, 2024",false
Sara Swann,Video of the ship colliding with the Baltimore bridge proves the bridge collapse wasn’t “an accident.”,Facebook posts,"April 2, 2024",false
Ciara O'Rourke,Three rockets NASA is launching during the April 8 solar eclipse is “a ritual causing mass psychosis.”,Instagram posts,"April 2, 2024",false
Samantha Putterman,“Joe Biden banned ‘religious themed’ eggs at the White House’s Easter Egg design contest for kids.”,Kristi Noem,"April 1, 2024",false
Maria Ramirez,“Nothing to see here… just the Mayor of Baltimore threatening White people.”,Libs of TikTok,"• April 1,",false
